task_id,worker_cap,stage,observed_sec,estimated_sec,call_sum_sec,noncall_overhead_sec,attempt_count,max_same_depth_modules
devs_gen-llama-oft-run_01,1,1,239.1,239.1,236.986,2.114,3,5
devs_gen-llama-oft-run_01,1,2,128.0,128.0,127.895,0.105,3,5
devs_gen-llama-oft-run_01,1,full_generation,431.17,431.17,,,3,5
devs_gen-llama-oft-run_01,2,1,239.1,226.308,236.986,2.114,3,5
devs_gen-llama-oft-run_01,2,2,128.0,85.002,127.895,0.105,3,5
devs_gen-llama-oft-run_01,2,full_generation,431.17,375.38,,,3,5
devs_gen-llama-oft-run_01,4,1,239.1,226.308,236.986,2.114,3,5
devs_gen-llama-oft-run_01,4,2,128.0,72.968,127.895,0.105,3,5
devs_gen-llama-oft-run_01,4,full_generation,431.17,363.346,,,3,5
devs_gen-llama-oft-run_01,8,1,239.1,226.308,236.986,2.114,3,5
devs_gen-llama-oft-run_01,8,2,128.0,72.968,127.895,0.105,3,5
devs_gen-llama-oft-run_01,8,full_generation,431.17,363.346,,,3,5
devs_gen-llama-IOBS-run_01,1,1,192.0,192.0,191.904,0.096,2,6
devs_gen-llama-IOBS-run_01,1,2,95.2,95.2,95.078,0.122,2,6
devs_gen-llama-IOBS-run_01,1,full_generation,304.91,304.91,,,2,6
devs_gen-llama-IOBS-run_01,2,1,192.0,183.742,191.904,0.096,2,6
devs_gen-llama-IOBS-run_01,2,2,95.2,58.926,95.078,0.122,2,6
devs_gen-llama-IOBS-run_01,2,full_generation,304.91,260.378,,,2,6
devs_gen-llama-IOBS-run_01,4,1,192.0,179.797,191.904,0.096,2,6
devs_gen-llama-IOBS-run_01,4,2,95.2,46.228,95.078,0.122,2,6
devs_gen-llama-IOBS-run_01,4,full_generation,304.91,243.735,,,2,6
devs_gen-llama-IOBS-run_01,8,1,192.0,179.08,191.904,0.096,2,6
devs_gen-llama-IOBS-run_01,8,2,95.2,46.228,95.078,0.122,2,6
devs_gen-llama-IOBS-run_01,8,full_generation,304.91,243.018,,,2,6
devs_gen-llama-HouseHeating-run_01,1,1,102.3,102.3,102.283,0.017,2,2
devs_gen-llama-HouseHeating-run_01,1,2,38.1,38.1,38.054,0.046,2,2
devs_gen-llama-HouseHeating-run_01,1,full_generation,163.25,163.25,,,2,2
devs_gen-llama-HouseHeating-run_01,2,1,102.3,99.363,102.283,0.017,2,2
devs_gen-llama-HouseHeating-run_01,2,2,38.1,27.397,38.054,0.046,2,2
devs_gen-llama-HouseHeating-run_01,2,full_generation,163.25,149.61,,,2,2
devs_gen-llama-HouseHeating-run_01,4,1,102.3,99.363,102.283,0.017,2,2
devs_gen-llama-HouseHeating-run_01,4,2,38.1,27.397,38.054,0.046,2,2
devs_gen-llama-HouseHeating-run_01,4,full_generation,163.25,149.61,,,2,2
devs_gen-llama-HouseHeating-run_01,8,1,102.3,99.363,102.283,0.017,2,2
devs_gen-llama-HouseHeating-run_01,8,2,38.1,27.397,38.054,0.046,2,2
devs_gen-llama-HouseHeating-run_01,8,full_generation,163.25,149.61,,,2,2
devs_gen-llama-SAA-run_01,1,1,190.2,190.2,190.131,0.069,2,5
devs_gen-llama-SAA-run_01,1,2,63.7,63.7,63.595,0.105,2,5
devs_gen-llama-SAA-run_01,1,full_generation,335.52,335.52,,,2,5
devs_gen-llama-SAA-run_01,2,1,190.2,184.702,190.131,0.069,2,5
devs_gen-llama-SAA-run_01,2,2,63.7,40.472,63.595,0.105,2,5
devs_gen-llama-SAA-run_01,2,full_generation,335.52,306.794,,,2,5
devs_gen-llama-SAA-run_01,4,1,190.2,181.343,190.131,0.069,2,5
devs_gen-llama-SAA-run_01,4,2,63.7,27.769,63.595,0.105,2,5
devs_gen-llama-SAA-run_01,4,full_generation,335.52,290.732,,,2,5
devs_gen-llama-SAA-run_01,8,1,190.2,181.159,190.131,0.069,2,5
devs_gen-llama-SAA-run_01,8,2,63.7,23.2,63.595,0.105,2,5
devs_gen-llama-SAA-run_01,8,full_generation,335.52,285.979,,,2,5
devs_gen-llama-StoreCashier-run_01,1,1,155.8,155.8,155.71,0.09,3,4
devs_gen-llama-StoreCashier-run_01,1,2,92.0,92.0,91.902,0.098,3,4
devs_gen-llama-StoreCashier-run_01,1,full_generation,334.24,334.24,,,3,4
devs_gen-llama-StoreCashier-run_01,2,1,155.8,146.788,155.71,0.09,3,4
devs_gen-llama-StoreCashier-run_01,2,2,92.0,52.594,91.902,0.098,3,4
devs_gen-llama-StoreCashier-run_01,2,full_generation,334.24,285.822,,,3,4
devs_gen-llama-StoreCashier-run_01,4,1,155.8,143.236,155.71,0.09,3,4
devs_gen-llama-StoreCashier-run_01,4,2,92.0,38.919,91.902,0.098,3,4
devs_gen-llama-StoreCashier-run_01,4,full_generation,334.24,268.595,,,3,4
devs_gen-llama-StoreCashier-run_01,8,1,155.8,143.236,155.71,0.09,3,4
devs_gen-llama-StoreCashier-run_01,8,2,92.0,38.919,91.902,0.098,3,4
devs_gen-llama-StoreCashier-run_01,8,full_generation,334.24,268.595,,,3,4
