task_id,method,model,scenario,run,generated_code,fully_operational,score_ope,score_beh,generation_time_sec,generation_tokens
openhands-glm-oft-run_03,openhands,glm,oft,run_03,generated/openhands/glm/oft/run_03,1,1.0,0.9954545454545455,130.64,1016762
openhands-gpt-ABP-run_01,openhands,gpt,ABP,run_01,generated/openhands/gpt/ABP/run_01,1,1.0,1.0,390.79,139131
openhands-gpt-ABP-run_02,openhands,gpt,ABP,run_02,generated/openhands/gpt/ABP/run_02,1,1.0,1.0,528.44,179938
openhands-gpt-ABP-run_03,openhands,gpt,ABP,run_03,generated/openhands/gpt/ABP/run_03,1,1.0,1.0,637.39,316185
openhands-gpt-HouseHeating-run_01,openhands,gpt,HouseHeating,run_01,generated/openhands/gpt/HouseHeating/run_01,1,1.0,1.0,123.36,156224
openhands-gpt-HouseHeating-run_02,openhands,gpt,HouseHeating,run_02,generated/openhands/gpt/HouseHeating/run_02,1,1.0,1.0,223.76,201889
openhands-gpt-HouseHeating-run_03,openhands,gpt,HouseHeating,run_03,generated/openhands/gpt/HouseHeating/run_03,1,1.0,1.0,164.64,97277
openhands-gpt-IOBS-run_01,openhands,gpt,IOBS,run_01,,0,0.0,0.0,,
openhands-gpt-IOBS-run_02,openhands,gpt,IOBS,run_02,generated/openhands/gpt/IOBS/run_02,1,1.0,0.8856210797493114,805.13,686479
openhands-gpt-IOBS-run_03,openhands,gpt,IOBS,run_03,generated/openhands/gpt/IOBS/run_03,1,1.0,0.917271194006594,690.29,603467
openhands-gpt-OTrain-run_01,openhands,gpt,OTrain,run_01,generated/openhands/gpt/OTrain/run_01,1,1.0,0.9964469249317283,710.6,275202
openhands-gpt-OTrain-run_02,openhands,gpt,OTrain,run_02,generated/openhands/gpt/OTrain/run_02,1,1.0,0.9962580989566536,701.34,178423
openhands-gpt-OTrain-run_03,openhands,gpt,OTrain,run_03,generated/openhands/gpt/OTrain/run_03,1,1.0,0.9959011578261832,2790.63,2641373
openhands-gpt-SA-run_01,openhands,gpt,SA,run_01,generated/openhands/gpt/SA/run_01,1,1.0,1.0,1590.74,2347229
openhands-gpt-SA-run_02,openhands,gpt,SA,run_02,generated/openhands/gpt/SA/run_02,1,1.0,0.9988037369266082,1059.93,577132
openhands-gpt-SA-run_03,openhands,gpt,SA,run_03,generated/openhands/gpt/SA/run_03,1,1.0,0.9988037369266082,672.51,335322
openhands-gpt-SAA-run_01,openhands,gpt,SAA,run_01,generated/openhands/gpt/SAA/run_01,1,1.0,0.8380394094396652,160.58,44685
openhands-gpt-SAA-run_02,openhands,gpt,SAA,run_02,generated/openhands/gpt/SAA/run_02,1,1.0,1.0,339.48,320461
openhands-gpt-SAA-run_03,openhands,gpt,SAA,run_03,generated/openhands/gpt/SAA/run_03,1,1.0,1.0,229.97,204291
openhands-gpt-SEIRD-run_01,openhands,gpt,SEIRD,run_01,generated/openhands/gpt/SEIRD/run_01,1,1.0,0.9998566401438607,255.53,174244
openhands-gpt-SEIRD-run_02,openhands,gpt,SEIRD,run_02,generated/openhands/gpt/SEIRD/run_02,1,1.0,0.9998566401438607,347.03,200092
openhands-gpt-SEIRD-run_03,openhands,gpt,SEIRD,run_03,generated/openhands/gpt/SEIRD/run_03,1,1.0,0.9998566401438607,259.86,145586
openhands-gpt-StoreCashier-run_01,openhands,gpt,StoreCashier,run_01,generated/openhands/gpt/StoreCashier/run_01,1,1.0,0.9813624338624338,182.98,53999
openhands-gpt-StoreCashier-run_02,openhands,gpt,StoreCashier,run_02,generated/openhands/gpt/StoreCashier/run_02,1,1.0,1.0,147.06,124135
openhands-gpt-StoreCashier-run_03,openhands,gpt,StoreCashier,run_03,generated/openhands/gpt/StoreCashier/run_03,1,1.0,0.9813624338624338,266.33,422103
