task_id,method,model,scenario,run,generated_code,fully_operational,score_ope,score_beh,generation_time_sec,generation_tokens
single_simpy-llama-SEIRD-run_03,single_simpy,llama,SEIRD,run_03,generated/single_simpy/llama/SEIRD/run_03,0,0.0,0.0,21.38,0
single_simpy-llama-StoreCashier-run_01,single_simpy,llama,StoreCashier,run_01,generated/single_simpy/llama/StoreCashier/run_01,0,0.0,0.0,15.96,2586
single_simpy-llama-StoreCashier-run_02,single_simpy,llama,StoreCashier,run_02,generated/single_simpy/llama/StoreCashier/run_02,0,0.0,0.0,16.96,2596
single_simpy-llama-StoreCashier-run_03,single_simpy,llama,StoreCashier,run_03,generated/single_simpy/llama/StoreCashier/run_03,0,0.0,0.0,15.04,2709
single_simpy-llama-barbershop-run_01,single_simpy,llama,barbershop,run_01,generated/single_simpy/llama/barbershop/run_01,0,0.0,0.0,25.19,0
single_simpy-llama-barbershop-run_02,single_simpy,llama,barbershop,run_02,generated/single_simpy/llama/barbershop/run_02,0,0.0,0.0,45.02,0
single_simpy-llama-barbershop-run_03,single_simpy,llama,barbershop,run_03,generated/single_simpy/llama/barbershop/run_03,0,0.1111111111111111,0.1111111111111111,35.76,0
single_simpy-llama-oft-run_01,single_simpy,llama,oft,run_01,generated/single_simpy/llama/oft/run_01,1,1.0,0.20454545454545453,26.6,0
single_simpy-llama-oft-run_02,single_simpy,llama,oft,run_02,generated/single_simpy/llama/oft/run_02,0,0.0,0.0,66.22,0
single_simpy-llama-oft-run_03,single_simpy,llama,oft,run_03,generated/single_simpy/llama/oft/run_03,0,0.0,0.0,60.4,0
single_xdevs-glm-ABP-run_01,single_xdevs,glm,ABP,run_01,generated/single_xdevs/glm/ABP/run_01,0,0.0,0.0,0.24,0
single_xdevs-glm-ABP-run_02,single_xdevs,glm,ABP,run_02,generated/single_xdevs/glm/ABP/run_02,0,0.0,0.0,0.24,0
single_xdevs-glm-ABP-run_03,single_xdevs,glm,ABP,run_03,generated/single_xdevs/glm/ABP/run_03,0,0.0,0.0,235.08,0
single_xdevs-glm-HouseHeating-run_01,single_xdevs,glm,HouseHeating,run_01,generated/single_xdevs/glm/HouseHeating/run_01,0,0.0,0.0,291.47,3391
single_xdevs-glm-HouseHeating-run_02,single_xdevs,glm,HouseHeating,run_02,,0,0.0,0.0,283.54,
single_xdevs-glm-HouseHeating-run_03,single_xdevs,glm,HouseHeating,run_03,generated/single_xdevs/glm/HouseHeating/run_03,1,1.0,1.0,65.11,3438
single_xdevs-glm-IOBS-run_01,single_xdevs,glm,IOBS,run_01,generated/single_xdevs/glm/IOBS/run_01,1,1.0,0.5312202380952381,152.96,0
single_xdevs-glm-IOBS-run_02,single_xdevs,glm,IOBS,run_02,generated/single_xdevs/glm/IOBS/run_02,0,0.0,0.0,144.01,0
single_xdevs-glm-IOBS-run_03,single_xdevs,glm,IOBS,run_03,generated/single_xdevs/glm/IOBS/run_03,0,0.0,0.0,300.01,0
single_xdevs-glm-OTrain-run_01,single_xdevs,glm,OTrain,run_01,generated/single_xdevs/glm/OTrain/run_01,0,0.0,0.0,0.0,0
single_xdevs-glm-OTrain-run_02,single_xdevs,glm,OTrain,run_02,generated/single_xdevs/glm/OTrain/run_02,0,0.0,0.0,0.0,0
single_xdevs-glm-OTrain-run_03,single_xdevs,glm,OTrain,run_03,generated/single_xdevs/glm/OTrain/run_03,0,0.0,0.0,103.79,0
single_xdevs-glm-SA-run_01,single_xdevs,glm,SA,run_01,generated/single_xdevs/glm/SA/run_01,0,0.0,0.0,0.72,0
single_xdevs-glm-SA-run_02,single_xdevs,glm,SA,run_02,generated/single_xdevs/glm/SA/run_02,0,0.0,0.0,0.72,0
single_xdevs-glm-SA-run_03,single_xdevs,glm,SA,run_03,generated/single_xdevs/glm/SA/run_03,0,0.0,0.0,300.01,0
single_xdevs-glm-SAA-run_01,single_xdevs,glm,SAA,run_01,generated/single_xdevs/glm/SAA/run_01,0,0.1,0.1,319.3,5011
single_xdevs-glm-SAA-run_02,single_xdevs,glm,SAA,run_02,generated/single_xdevs/glm/SAA/run_02,0,0.0,0.0,42.21,5241
single_xdevs-glm-SAA-run_03,single_xdevs,glm,SAA,run_03,generated/single_xdevs/glm/SAA/run_03,0,0.3,0.2208333333333333,96.43,4672
single_xdevs-glm-SEIRD-run_01,single_xdevs,glm,SEIRD,run_01,generated/single_xdevs/glm/SEIRD/run_01,0,0.0,0.0,99.94,0
single_xdevs-glm-SEIRD-run_02,single_xdevs,glm,SEIRD,run_02,generated/single_xdevs/glm/SEIRD/run_02,0,0.0,0.0,99.94,0
single_xdevs-glm-SEIRD-run_03,single_xdevs,glm,SEIRD,run_03,generated/single_xdevs/glm/SEIRD/run_03,0,0.0,0.0,19.12,0
single_xdevs-glm-StoreCashier-run_01,single_xdevs,glm,StoreCashier,run_01,generated/single_xdevs/glm/StoreCashier/run_01,0,0.0,0.0,197.05,5542
single_xdevs-glm-StoreCashier-run_02,single_xdevs,glm,StoreCashier,run_02,generated/single_xdevs/glm/StoreCashier/run_02,0,0.0,0.0,56.92,4533
single_xdevs-glm-StoreCashier-run_03,single_xdevs,glm,StoreCashier,run_03,generated/single_xdevs/glm/StoreCashier/run_03,0,0.0,0.0,72.44,4925
single_xdevs-glm-barbershop-run_01,single_xdevs,glm,barbershop,run_01,generated/single_xdevs/glm/barbershop/run_01,0,0.0,0.0,300.01,0
single_xdevs-glm-barbershop-run_02,single_xdevs,glm,barbershop,run_02,generated/single_xdevs/glm/barbershop/run_02,0,0.0,0.0,210.98,0
single_xdevs-glm-barbershop-run_03,single_xdevs,glm,barbershop,run_03,generated/single_xdevs/glm/barbershop/run_03,0,0.1111111111111111,0.1111111111111111,44.13,0
single_xdevs-glm-oft-run_01,single_xdevs,glm,oft,run_01,generated/single_xdevs/glm/oft/run_01,0,0.0,0.0,279.24,0
single_xdevs-glm-oft-run_02,single_xdevs,glm,oft,run_02,generated/single_xdevs/glm/oft/run_02,0,0.0,0.0,300.01,0
single_xdevs-glm-oft-run_03,single_xdevs,glm,oft,run_03,generated/single_xdevs/glm/oft/run_03,0,0.0,0.0,224.16,0
single_xdevs-qwen-ABP-run_01,single_xdevs,qwen,ABP,run_01,generated/single_xdevs/qwen/ABP/run_01,0,0.0,0.0,35.4,0
single_xdevs-qwen-ABP-run_02,single_xdevs,qwen,ABP,run_02,generated/single_xdevs/qwen/ABP/run_02,0,0.0,0.0,135.31,0
single_xdevs-qwen-ABP-run_03,single_xdevs,qwen,ABP,run_03,generated/single_xdevs/qwen/ABP/run_03,0,0.0,0.0,55.22,0
single_xdevs-qwen-HouseHeating-run_01,single_xdevs,qwen,HouseHeating,run_01,generated/single_xdevs/qwen/HouseHeating/run_01,0,0.0,0.0,76.8,3894
single_xdevs-qwen-HouseHeating-run_02,single_xdevs,qwen,HouseHeating,run_02,generated/single_xdevs/qwen/HouseHeating/run_02,0,0.0,0.0,46.28,4188
single_xdevs-qwen-HouseHeating-run_03,single_xdevs,qwen,HouseHeating,run_03,,0,0.0,0.0,17.85,
single_xdevs-qwen-IOBS-run_01,single_xdevs,qwen,IOBS,run_01,generated/single_xdevs/qwen/IOBS/run_01,0,0.0,0.0,60.3,0
single_xdevs-qwen-IOBS-run_02,single_xdevs,qwen,IOBS,run_02,generated/single_xdevs/qwen/IOBS/run_02,0,0.0,0.0,79.87,0
single_xdevs-qwen-IOBS-run_03,single_xdevs,qwen,IOBS,run_03,generated/single_xdevs/qwen/IOBS/run_03,0,0.0,0.0,78.92,0
single_xdevs-qwen-OTrain-run_01,single_xdevs,qwen,OTrain,run_01,generated/single_xdevs/qwen/OTrain/run_01,0,0.0,0.0,134.3,0
single_xdevs-qwen-OTrain-run_02,single_xdevs,qwen,OTrain,run_02,generated/single_xdevs/qwen/OTrain/run_02,0,0.0,0.0,69.77,0
single_xdevs-qwen-OTrain-run_03,single_xdevs,qwen,OTrain,run_03,generated/single_xdevs/qwen/OTrain/run_03,0,0.0,0.0,47.49,0
single_xdevs-qwen-SA-run_01,single_xdevs,qwen,SA,run_01,generated/single_xdevs/qwen/SA/run_01,0,0.0,0.0,28.89,0
single_xdevs-qwen-SA-run_02,single_xdevs,qwen,SA,run_02,generated/single_xdevs/qwen/SA/run_02,0,0.0,0.0,39.34,0
single_xdevs-qwen-SA-run_03,single_xdevs,qwen,SA,run_03,generated/single_xdevs/qwen/SA/run_03,0,0.0,0.0,33.94,0
single_xdevs-qwen-SAA-run_01,single_xdevs,qwen,SAA,run_01,generated/single_xdevs/qwen/SAA/run_01,0,0.0,0.0,61.94,4745
single_xdevs-qwen-SAA-run_02,single_xdevs,qwen,SAA,run_02,generated/single_xdevs/qwen/SAA/run_02,0,0.1,0.1,58.97,5043
single_xdevs-qwen-SAA-run_03,single_xdevs,qwen,SAA,run_03,,0,0.0,0.0,17.99,
single_xdevs-qwen-SEIRD-run_01,single_xdevs,qwen,SEIRD,run_01,generated/single_xdevs/qwen/SEIRD/run_01,0,0.0,0.0,27.33,0
single_xdevs-qwen-SEIRD-run_02,single_xdevs,qwen,SEIRD,run_02,generated/single_xdevs/qwen/SEIRD/run_02,0,0.0,0.0,14.63,0
single_xdevs-qwen-SEIRD-run_03,single_xdevs,qwen,SEIRD,run_03,generated/single_xdevs/qwen/SEIRD/run_03,0,0.0,0.0,37.29,0
